id,text,bopomofo,pinyin,meaning,example,source,difficulty,tags,enabled,version
idiom-0026,有始有終,,,做事有開頭也有結尾，能堅持到底。,凡事有始有終才能累積成果。,"示範資料，正式發布前需完成授權與校訂",easy,態度,true,1
idiom-0027,終身大事,,,關係一生的重要事情，多指婚姻。,家人尊重他對終身大事的決定。,"示範資料，正式發布前需完成授權與校訂",normal,人生,true,1
idiom-0028,事半功倍,,,花較少力氣而得到較大成效。,掌握方法能讓學習事半功倍。,"示範資料，正式發布前需完成授權與校訂",easy,效率|學習,true,1
idiom-0029,意想不到,,,出乎意料，沒有預先想到。,活動出現意想不到的驚喜。,"示範資料，正式發布前需完成授權與校訂",easy,變化|情緒,true,1
idiom-0030,到此為止,,,在這裡停止，不再繼續。,今天的討論先到此為止。,"示範資料，正式發布前需完成授權與校訂",easy,行動,true,1
idiom-0031,止於至善,,,追求達到最完善的境界。,學習應抱持止於至善的態度。,"示範資料，正式發布前需完成授權與校訂",hard,品德|學習,true,1
idiom-0032,善始善終,,,有好的開始，也有好的結束。,負責任的人做事善始善終。,"示範資料，正式發布前需完成授權與校訂",easy,態度,true,1
idiom-0033,人定勝天,,,相信人的努力可以克服自然困難。,前人以人定勝天的精神完成工程。,"示範資料，正式發布前需完成授權與校訂",normal,努力,true,1
idiom-0034,天長地久,,,形容時間長久不變。,願這份情誼天長地久。,"示範資料，正式發布前需完成授權與校訂",easy,時間|情感,true,1
idiom-0035,久別重逢,,,長久分離後再次相見。,老朋友久別重逢，格外開心。,"示範資料，正式發布前需完成授權與校訂",easy,情感,true,1
idiom-0036,逢凶化吉,,,遇到凶險而轉為吉祥。,大家希望旅途能逢凶化吉。,"示範資料，正式發布前需完成授權與校訂",normal,運勢,true,1
idiom-0037,吉祥如意,,,吉利祥和，事情符合心意。,祝大家新年吉祥如意。,"示範資料，正式發布前需完成授權與校訂",easy,祝福|節慶,true,1
